65535,00134,1
65534,00320,2
65533,00341,2
65531,00362,3
65530,00366,3
65529,00391,4
65523,00545,4
65521,00911,5
65532,00365,5
00011,00261,6
00027,00211,6
00046,00178,7
00068,00144,7
00092,00128,8
00117,00124,8
00145,00115,9
00175,00108,9
00206,00104,10
00238,00100,11
00271,00094,11
00305,00093,12
00339,00091,12
00373,00092,13
00407,00093,13
00439,00095,14
00471,00099,15
00502,00106,15
00531,00110,16
00557,00118,16
00582,00130,17
00605,00140,21
00625,00155,38
00643,00174,50
00658,00206,62
00671,00233,75
00681,00275,91
00688,00310,103
00692,00349,116
00693,00377,132
00695,00404,144
00699,00499,156
00706,01718,173
00697,00520,185
00685,00321,197
00670,00242,210
00653,00203,226
00634,00169,238
00613,00153,250
00589,00138,267
00564,00131,279
00538,00116,292
00510,00109,308
00481,00109,320
00451,00105,332
00421,00103,345
00390,00100,361
00359,00103,373
00329,00105,386
00300,00110,402
00271,00111,414
00244,00120,427
00218,00119,443
00194,00128,455
00172,00147,468
00151,00155,480
00133,00173,496
00118,00192,509
00104,00230,521
00093,00257,537
00085,00298,550
00079,00343,562
00076,00392,578
00075,00390,590
00072,00458,603
00068,00584,615
00063,02608,631
00073,00439,644
00084,00320,656
00098,00272,672
00114,00218,685
00132,00177,697
00152,00161,713
00174,00155,726
00197,00140,738
00221,00132,751
00247,00125,766
00273,00122,779
00300,00113,792
00327,00116,807
00355,00115,820
00382,00120,833
00409,00119,849
00435,00122,861
00460,00122,873
00484,00129,886
00506,00145,902
00527,00152,914
00546,00170,926
00563,00183,943
00578,00214,955
00591,00232,967
00601,00267,984
00609,00307,997
00615,00351,1008
00619,00395,1021
00620,00395,1037
00622,00450,1049
00625,00519,1062
00631,00957,1078
00626,00673,1090
00616,00409,1103
00604,00312,1119
00590,00242,1131
00574,00208,1143
00556,00195,1156
00537,00172,1172
00517,00158,1184
00495,00148,1197
00472,00146,1213
00449,00137,1225
00425,00133,1237
00400,00134,1253
00376,00135,1266
00352,00136,1279
00328,00139,1291
00305,00138,1307
00282,00139,1319
00261,00150,1332
00241,00158,1348
00222,00167,1360
00206,00179,1373
00190,00199,1385
00177,00226,1401
00166,00250,1414
00156,00305,1426
00149,00335,1443
00144,00395,1455
00141,00420,1467
00140,00449,1484
00139,00446,1496
00136,00535,1508
00131,00750,1520
00133,00701,1536
00142,00473,1549
00153,00345,1561
00166,00285,1578
00181,00243,1590
00197,00213,1603
00214,00197,1619
00233,00179,1631
