00258,00395,3160
00253,00441,3172
00249,00485,3184
00246,00518,3200
00245,00549,3212
00244,00592,3225
00243,00593,3241
00241,00646,3253
00237,00828,3266
00232,02158,3278
00238,00990,3294
00244,00644,3307
00252,00507,3319
00261,00450,3335
00270,00393,3347
00280,00332,3360
00291,00323,3376
00302,00315,3389
00313,00297,3401
00325,00286,3413
00337,00282,3428
00349,00280,3441
00361,00280,3454
00372,00270,3470
00383,00288,3482
00394,00302,3495
00404,00295,3511
00414,00330,3523
00423,00343,3536
00431,00369,3548
00438,00409,3564
00444,00412,3577
00449,00472,3589
00454,00529,3605
00457,00567,3618
00458,00592,3630
00459,00606,3646
00460,00597,3659
00461,00650,3671
00463,00708,3683
00467,00906,3700
00471,01542,3712
00468,01371,3725
00462,00800,3741
00455,00625,3753
00448,00559,3765
00440,00489,3778
00432,00444,3794
00423,00402,3807
00414,00370,3819
00405,00360,3835
00395,00350,3847
00385,00347,3860
00376,00353,3876
00366,00334,3888
00357,00348,3900
00348,00368,3913
00339,00364,3929
00331,00380,3941
00324,00416,3953
00317,00422,3970
00310,00439,3982
00305,00483,3995
00300,00549,4011
00297,00565,4023
00294,00592,4036
00292,00666,4048
00291,00658,4064
00290,00667,4077
00289,00701,4088
00287,00761,4105
00285,00851,4118
00281,01166,4130
00278,01979,4147
00281,01586,4159
00286,01018,4171
00291,00819,4183
00297,00689,4200
00304,00571,4212
00310,00562,4225
00317,00514,4240
00324,00465,4253
00332,00450,4265
00339,00462,4281
00347,00457,4294
00354,00462,4306
00361,00451,4318
00368,00437,4335
00375,00474,4347
00381,00484,4360
00387,00499,4376
00393,00531,4388
00398,00571,4400
00402,00598,4417
00406,00643,4429
00409,00673,4441
00411,00707,4453
00413,00754,4470
00414,00780,4482
00415,00794,4494
00416,00782,4511
00417,00861,4523
00418,00908,4535
00419,00936,4551
00422,01150,4564
00425,01565,4576
00426,10697,4589
00422,01472,4605
00418,01101,4617
00413,00945,4629
00408,00859,4646
00403,00758,4658
00398,00702,4671
00393,00685,4687
00388,00682,4699
00383,00647,4712
00377,00638,4724
00372,00654,4740
00367,00638,4753
00363,00648,4765
00358,00647,4781
00354,00662,4794
00350,00692,4806
00346,00729,4822
00343,00779,4835
00341,00804,4847
00339,00839,4859
00337,00884,4875
00336,00941,4888
00335,00941,4900
00334,00948,4916
00333,01010,4929
00332,01082,4941
00331,01091,4957
00330,01109,4970
00329,01196,4982
00327,01355,4994
00324,02039,5010
00322,03824,5023
00325,02541,5035
00328,01724,5051
00331,01530,5064
00334,01362,5076
00337,01276,5092
00340,01143,5105
00343,01142,5117
00347,01092,5129
00350,01096,5146
00353,01062,5158
00356,01030,5170
00358,01085,5187
00361,01104,5199
00363,01100,5211
00365,01123,5228
00367,01169,5240
00369,01184,5252
00370,01241,5265
00371,01263,5281
00372,01204,5294
00373,01322,5306
00374,01393,5322
00375,01404,5334
00376,01408,5346
00377,01563,5363
00378,01623,5375
00379,01729,5387
00380,01749,5400
00381,02018,5416
00382,02291,5428
00383,02634,5441
00384,03082,5457
00385,05371,5470
00384,09128,5482
00383,04927,5498
00382,03659,5510
00381,03306,5523
00380,03093,5535
00379,02844,5551
00378,02690,5564
00377,02741,5576
00376,02815,5592
00375,02693,5604
00374,02646,5617
00373,02765,5633
00372,02952,5645
00371,02933,5657
00370,03001,5670
00369,03298,5686
00368,03736,5699
00367,04079,5711
00366,04865,5727
00365,07274,5740
00366,19831,5752
00367,11020,5768
00368,11721,5781
00367,15398,5830
00366,11837,5875
00367,45105,6055
00366,37929,6206
00367,42407,6378
00366,35411,6518
00367,37951,6670
00366,35378,6813
